#28178653-V-2020033000-T-01;ostatni_plneni.csv;2020-03-30T08:18:51.6+02:00;1.0
"IDOstatniPlneni";"IDProvozovatel";"IDUzivKonto";"HraDruh";"OstatniPlneniVysePuvodni";"OstatniPlneniCas";"MenaKod";"IDMisto"
"28178653-2479031377";"28178653";"28178653-10786697";"T";"7,50";"2020-03-30T06:11:09.0+02:00";"CZK";
"28178653-2479036552";"28178653";"28178653-10786697";"T";"10,00";"2020-03-30T07:00:47.0+02:00";"CZK";
"28178653-2479036285";"28178653";"28178653-10786697";"T";"5,00";"2020-03-30T06:57:41.0+02:00";"CZK";
"28178653-2478982220";"28178653";"28178653-10786697";"T";"10,00";"2020-03-30T00:18:33.0+02:00";"CZK";
"28178653-2478982394";"28178653";"28178653-10786697";"T";"15,00";"2020-03-30T00:19:43.0+02:00";"CZK";
"28178653-2479027360";"28178653";"28178653-11222246";"T";"5,00";"2020-03-30T05:28:29.0+02:00";"CZK";
"28178653-2479026193";"28178653";"28178653-11222246";"T";"5,00";"2020-03-30T05:23:16.0+02:00";"CZK";
"28178653-2479031462";"28178653";"28178653-11053423";"T";"1,70";"2020-03-30T06:12:21.0+02:00";"CZK";
"28178653-2478983936";"28178653";"28178653-11053423";"T";"3,30";"2020-03-30T00:24:01.0+02:00";"CZK";
"28178653-2479033309";"28178653";"28178653-11051928";"T";"15,00";"2020-03-30T06:32:28.0+02:00";"CZK";
"28178653-2479041349";"28178653";"28178653-11309176";"T";"5,00";"2020-03-30T07:37:49.0+02:00";"CZK";
"28178653-2479044467";"28178653";"28178653-11309176";"T";"5,00";"2020-03-30T07:56:05.0+02:00";"CZK";
"28178653-2479020061";"28178653";"28178653-11309176";"T";"5,00";"2020-03-30T03:38:49.0+02:00";"CZK";
"28178653-2479019932";"28178653";"28178653-11309176";"T";"5,00";"2020-03-30T03:37:18.0+02:00";"CZK";
"28178653-2479040773";"28178653";"28178653-10986466";"T";"5,00";"2020-03-30T07:34:06.0+02:00";"CZK";
"28178653-2478985510";"28178653";"28178653-12309155";"T";"5,00";"2020-03-30T00:30:21.0+02:00";"CZK";
"28178653-2478995421";"28178653";"28178653-10306175";"T";"5,00";"2020-03-30T01:23:06.0+02:00";"CZK";
"28178653-2479038739";"28178653";"28178653-10274384";"T";"10,00";"2020-03-30T07:18:02.0+02:00";"CZK";
"28178653-2479040664";"28178653";"28178653-10274384";"T";"5,00";"2020-03-30T07:32:56.0+02:00";"CZK";
"28178653-2479020607";"28178653";"28178653-10375114";"T";"1,00";"2020-03-30T03:47:22.0+02:00";"CZK";
"28178653-2479021377";"28178653";"28178653-10304041";"T";"5,00";"2020-03-30T04:03:56.0+02:00";"CZK";
"28178653-2479005746";"28178653";"28178653-10304041";"T";"10,00";"2020-03-30T02:23:33.0+02:00";"CZK";
"28178653-2478996506";"28178653";"28178653-10303198";"T";"25,00";"2020-03-30T01:32:49.0+02:00";"CZK";
"28178653-2478991748";"28178653";"28178653-10506516";"T";"5,00";"2020-03-30T01:01:52.0+02:00";"CZK";
"28178653-2479021171";"28178653";"28178653-10626436";"T";"0,75";"2020-03-30T04:00:36.0+02:00";"CZK";
"28178653-2479021016";"28178653";"28178653-10626436";"T";"3,25";"2020-03-30T03:57:13.0+02:00";"CZK";
