#28178653-V-2020033000-T-01;sebeomezeni.csv;2020-03-30T08:18:52.0+02:00;1.0
"IDNastaveniSO";"IDUzivKonto";"TypSO";"HodnotaVyse";"HodnotaPocet";"HodnotaCas";"SONastaveniCas";"SOUcinnostiCas";"SOOdmitnuti";"MenaKod"
"28178653-18381117";"28178653-11984952";"f";;;15;"2020-03-30T01:27:56.0+02:00";"2020-03-31T00:00:00.0+02:00";0;
"28178653-18381116";"28178653-11984952";"e";;20;;"2020-03-30T01:27:43.0+02:00";"2020-03-31T00:00:00.0+02:00";0;
"28178653-18381219";"28178653-11985888";"a";;;;"2020-03-30T02:02:23.0+02:00";"2020-03-30T02:02:23.0+02:00";1;
"28178653-18381217";"28178653-11985888";"f";;;;"2020-03-30T02:02:02.0+02:00";"2020-03-30T02:02:02.0+02:00";1;
"28178653-18381222";"28178653-11985888";"d";;;;"2020-03-30T02:02:30.0+02:00";"2020-03-30T02:02:30.0+02:00";1;
"28178653-18381216";"28178653-11985888";"e";;;;"2020-03-30T02:01:59.0+02:00";"2020-03-30T02:01:59.0+02:00";1;
"28178653-18381220";"28178653-11985888";"c";;;;"2020-03-30T02:02:25.0+02:00";"2020-03-30T02:02:25.0+02:00";1;
"28178653-18381218";"28178653-11985888";"g";;;;"2020-03-30T02:02:05.0+02:00";"2020-03-30T02:02:05.0+02:00";1;
"28178653-18381221";"28178653-11985888";"b";;;;"2020-03-30T02:02:27.0+02:00";"2020-03-30T02:02:27.0+02:00";1;
"28178653-18381465";"28178653-11998937";"a";"100,00";;;"2020-03-30T03:53:23.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381125";"28178653-12028214";"c";"999999999,00";;;"2020-03-30T01:31:19.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381430";"28178653-12093183";"c";"5,00";;;"2020-03-30T03:38:08.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
"28178653-18381267";"28178653-12080587";"a";"100,00";;;"2020-03-30T02:15:47.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381113";"28178653-12077126";"b";;;;"2020-03-30T01:24:24.0+02:00";"2020-03-30T01:24:24.0+02:00";1;
"28178653-18381112";"28178653-12077126";"a";;;;"2020-03-30T01:24:20.0+02:00";"2020-03-30T01:24:20.0+02:00";1;
"28178653-18381114";"28178653-12077126";"d";;;;"2020-03-30T01:24:35.0+02:00";"2020-03-30T01:24:35.0+02:00";1;
"28178653-18381753";"28178653-12202622";"c";"2000,00";;;"2020-03-30T06:48:04.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381745";"28178653-12202622";"b";"100000,00";;;"2020-03-30T06:47:22.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
