#28178653-V-2020033000-T-01;prihlaseni.csv;2020-03-30T08:18:56.4+02:00;1.0
"idprihlaseni";"iduzivkonto";"prihlasenicas";"odhlasenicas";"idhernipozice"
"28178653-470940575";"28178653-10224090";"2020-03-30T00:07:58.0+02:00";"2020-03-30T00:11:58.1+02:00";
"28178653-470943659";"28178653-10027281";"2020-03-29T23:51:41.0+02:00";"2020-03-30T00:28:32.1+02:00";
"28178653-470947338";"28178653-10027281";"2020-03-30T00:34:02.0+02:00";"2020-03-30T00:42:32.1+02:00";
"28178653-470987901";"28178653-10026506";"2020-03-30T07:28:51.0+02:00";"2020-03-30T07:31:21.1+02:00";
"28178653-470985018";"28178653-10026506";"2020-03-30T07:14:51.0+02:00";"2020-03-30T07:15:07.1+02:00";
"28178653-470977010";"28178653-10216885";"2020-03-30T05:56:12.0+02:00";"2020-03-30T05:58:12.1+02:00";
"28178653-470983727";"28178653-10028981";"2020-03-30T07:01:42.0+02:00";"2020-03-30T07:01:42.1+02:00";
"28178653-470940129";"28178653-10028981";"2020-03-30T00:04:34.0+02:00";"2020-03-30T00:11:34.1+02:00";
"28178653-470953307";"28178653-10026565";"2020-03-30T01:08:31.0+02:00";"2020-03-30T01:14:32.1+02:00";
"28178653-470974019";"28178653-10028205";"2020-03-30T05:27:38.0+02:00";"2020-03-30T05:30:38.1+02:00";
"28178653-470977114";"28178653-10032519";"2020-03-30T06:01:09.0+02:00";"2020-03-30T06:01:09.1+02:00";
"28178653-470976219";"28178653-10032519";"2020-03-30T05:55:39.0+02:00";"2020-03-30T05:55:39.1+02:00";
"28178653-470974903";"28178653-10032519";"2020-03-30T05:36:37.0+02:00";"2020-03-30T05:37:37.1+02:00";
"28178653-470987814";"28178653-10032519";"2020-03-30T07:28:10.0+02:00";"2020-03-30T07:33:41.1+02:00";
"28178653-470989883";"28178653-10169964";"2020-03-30T07:28:38.0+02:00";"2020-03-30T07:45:08.1+02:00";
"28178653-470947137";"28178653-10030016";"2020-03-30T00:42:30.0+02:00";"2020-03-30T00:43:30.1+02:00";
"28178653-470979431";"28178653-10030919";"2020-03-30T06:20:09.0+02:00";"2020-03-30T06:23:09.1+02:00";
"28178653-470972159";"28178653-10222909";"2020-03-30T04:56:20.0+02:00";"2020-03-30T05:00:51.1+02:00";
"28178653-470990854";"28178653-10030954";"2020-03-30T07:46:45.0+02:00";"2020-03-30T07:53:45.1+02:00";
"28178653-470979616";"28178653-10030961";"2020-03-30T06:26:08.0+02:00";"2020-03-30T06:26:08.1+02:00";
"28178653-470991013";"28178653-10223375";"2020-03-30T07:55:23.0+02:00";"2020-03-30T07:55:23.1+02:00";
"28178653-470976031";"28178653-10032836";"2020-03-30T05:49:37.0+02:00";"2020-03-30T05:49:37.1+02:00";
"28178653-470988571";"28178653-10032862";"2020-03-30T07:39:38.0+02:00";"2020-03-30T07:39:38.1+02:00";
"28178653-470991831";"28178653-10032862";"2020-03-30T07:56:08.0+02:00";"2020-03-30T07:56:08.1+02:00";
